hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap
Lauzacco;Bicinicco;6430.322143800932;6;33;55.54144287109375;22.54144287109375
Ialmicco sede protezione civile regionale;Bicinicco;7479.379319483388;35;33;26.88026237487793;6.11973762512207
Pavia di udine;Bicinicco;8267.291077613287;12;33;63.512428283691406;30.512428283691406
Scodovacca;Bicinicco;15715.72238046915;8;33;4.342519760131836;28.657480239868164
Borgo modena;Bicinicco;16417.399649897066;11;33;4.265965461730957;28.734034538269043
Case polzin;Bicinicco;16555.219513384767;11;33;0.8759349584579468;32.12406504154205
Malborghetto di cervignano;Bicinicco;16849.673035828157;22;33;0;33
Marano lagunare colomba;Bicinicco;17495.835289252613;20;33;0;33
Ca' anfora;Bicinicco;19633.022180365075;9;33;-2.7816812992095947;35.781681299209595
Sagrado ponte ss 305;Bicinicco;19823.077634647354;19;33;23.534893035888672;9.465106964111328
Ruda cimitero;Bicinicco;16677.407290597454;9;33;8.37320327758789;24.62679672241211
Turriaco;Bicinicco;19348.51013485533;6;33;6.438595294952393;26.561404705047607
Villa vicentina via sant'antonio;Bicinicco;18154.163306342598;26;33;4.834527015686035;28.165472984313965
Viscone;Bicinicco;10721.571796971937;7;33;33.00700378417969;0.0070037841796875
Tapogliano ex ponte ss 252;Bicinicco;13582.258572059829;23;33;20.637659072875977;12.362340927124023
Villesse ponte ss 351;Bicinicco;16425.64823688099;19;33;12.620546340942383;20.379453659057617
Manzano ponte case;Bicinicco;13643.505955174029;16;33;65.63212585449219;32.63212585449219
Manzano;Bicinicco;13381.006169290777;7;33;75.56151580810547;42.56151580810547
Brazzano;Bicinicco;17390.361877335086;7;33;70.73090362548828;37.73090362548828
Cormons;Bicinicco;18122.444430020354;9;33;79.207275390625;46.207275390625
Versa ponte ss 252;Bicinicco;14525.806670004737;17;33;22.48201560974121;10.517984390258789
Fratta;Bicinicco;15460.247244393431;9;33;23.620899200439453;9.379100799560547
Mariano del friuli;Bicinicco;16790.201959274502;15;33;31.00920295715332;1.9907970428466797
Versa;Bicinicco;13552.044590630783;9;33;23.13545799255371;9.864542007446289
Ca' viola;Boa paloma;18037.618105831654;7;5;-1;6
Grado sede g.i.t.;Boa paloma;14785.833749642019;15;5;0.4218692481517792;4.578130751848221
Grado molo torpediniere;Boa paloma;15894.852848281142;19;5;0.6536489725112915;4.3463510274887085
Grado valle cavarera;Boa paloma;13614.121008931621;15;5;0.6634598970413208;4.336540102958679
Isola morosini ex magazzino tabacco;Boa paloma;19216.30984046378;29;5;0.3983982503414154;4.601601749658585
Isola morosini idrovora terranova;Boa paloma;16452.666975578304;27;5;-0.651797890663147;5.651797890663147
Fossalon bonifica vittoria;Boa paloma;13947.652173534836;20;5;-1;6
Alberoni idrovora sacchetti;Boa paloma;18215.541026173443;23;5;-0.009229229763150215;5.00922922976315
Trieste istituto nautico;Boa paloma;15916.38861276438;21;5;7.493386745452881;2.493386745452881
Servola;Boa paloma;17039.822851843037;8;5;29.561124801635742;24.561124801635742
Muggia;Boa paloma;16487.656463717714;9;5;0.8371971845626831;4.162802815437317
Francovec;Boa paloma;19951.066545002916;9;5;14.216096878051758;9.216096878051758
Pioverno;Bordano;4338.369757644003;5;230;265.94818115234375;35.94818115234375
Venzone ponte per pioverno;Bordano;4088.1030539345675;22;230;239.41578674316406;9.4157867431640625
Gemona casa di riposo;Bordano;7579.2020665451955;18;230;251.9317626953125;21.9317626953125
Gemona canciane;Bordano;8595.593996366311;12;230;189.93775939941406;40.06224060058594
Venzone spalla ponte pioverno;Bordano;4087.2935132411726;25;230;239.41578674316406;9.4157867431640625
Ponte di braulins sponda destra;Bordano;5651.03376987354;26;230;195.4087677001953;34.59123229980469
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062
Artegna;Bordano;12376.046887585839;6;230;198.69320678710938;31.306793212890625
Magnano in riviera;Bordano;13163.155415261443;15;230;198.69320678710938;31.306793212890625
Flagogna ponte armistizio;Bordano;16590.675301933985;21;230;207.7828826904297;22.217117309570312
Villuzza;Bordano;19380.001469560295;8;230;194.49880981445312;35.501190185546875
Zeglianutto;Bordano;16195.040983364881;8;230;216.46371459960938;13.536285400390625
Collalto borgo di sotto;Bordano;18260.88287525791;19;230;210.4383087158203;19.561691284179688
Ciseriis;Bordano;16262.475414432074;8;230;268.62225341796875;38.62225341796875
Tarcento ponte per oltretorre;Bordano;16941.412618673967;26;230;251.6145782470703;21.614578247070312
San pelagio;Borgo grotta gigante;8708.115121999415;16;275;234.58306884765625;40.41693115234375
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375
Trieste cattinara;Borgo grotta gigante;9812.908097335354;16;275;289.24932861328125;14.24932861328125
Fiaschetti;Brugnera;8888.747412523266;9;22;25.647066116333008;3.647066116333008
Sacile ponte lacchin;Brugnera;4954.129471401589;17;22;22.27758026123047;0.27758026123046875
Ponte della muda;Brugnera;8309.091701722142;14;22;42.66930389404297;20.66930389404297
San cassiano;Brugnera;4656.329959697114;11;22;9.0826263427734375;12.917373657226562
Tremeacque ponte destro;Brugnera;10128.424093849393;18;22;6.042686462402344;15.957313537597656
Ponte meduna;Brugnera;12372.88351481587;10;22;19.6729736328125;2.3270263671875
Pordenone localita' torre;Brugnera;11373.762475466518;21;22;29.147491455078125;7.147491455078125
Pordenone sede c.b.c.m.;Brugnera;10117.664783883965;20;22;25.985637664794922;3.985637664794922
Pordenone campo atletica;Brugnera;9313.27543513442;20;22;30.16668701171875;8.16668701171875
Pordenone ponte via santissima;Brugnera;9612.636463663712;26;22;19.363529205322266;2.6364707946777344
Prata di sopra;Brugnera;4752.389296519576;11;22;12;10
Visinale di sopra;Brugnera;5642.066795514444;13;22;12.54174518585205;9.45825481414795
Visinale ponte ferro;Brugnera;5169.8865076018;17;22;12;10
Prata di pordenone;Brugnera;5031.200728122784;16;22;12;10
Tremeacque ponte sinistro;Brugnera;10162.57134025653;20;22;5.312811851501465;16.687188148498535
Porcia rondover;Brugnera;5382.732519192764;12;22;15.506112098693848;6.493887901306152
Cordenons acquedotto san giovanni;Brugnera;15754.22368306817;29;22;69.83683776855469;47.83683776855469
Colesit;Brugnera;10528.74621777727;8;22;61.68111801147461;39.68111801147461
Villadolt;Brugnera;7044.913578894648;9;22;48.569671630859375;26.569671630859375
Vigonovo;Brugnera;7554.225176582344;7;22;38.288414001464844;16.288414001464844
Zuiano;Brugnera;13946.469800728835;7;22;11.029081344604492;10.970918655395508
Panigai;Brugnera;14132.697298337225;7;22;5.501400470733643;16.498599529266357
Azzano decimo;Brugnera;13663.981087782788;11;22;13.677153587341309;8.322846412658691
Pescincanna;Brugnera;16091.35388237321;9;22;21.79218864440918;0.2078113555908203
Squarzare';Brugnera;9987.012526308883;8;22;9.371118545532227;12.628881454467773
Ponte meduna;Camino;18790.550631330527;10;30;19.6729736328125;10.3270263671875
Ponte della delizia casello c.b.c.m.;Camino;6907.749639701218;33;30;46.997962951660156;16.997962951660156
Ponte della delizia;Camino;5811.749292390044;17;30;43.79997634887695;13.799976348876953
Varmo casello idraulico c.b.b.f.;Camino;5611.533523411067;28;30;13.007050514221191;16.99294948577881
Madrisio ponte sul tagliamento;Camino;7187.897838545844;26;30;11.814027786254883;18.185972213745117
Latisana;Camino;17021.38431552761;5;30;5.5133056640625;24.4866943359375
Latisana scala;Camino;17009.54823575737;11;30;5.5133056640625;24.4866943359375
Casali grinta;Camino;10291.66857408124;9;30;6.3910627365112305;23.60893726348877
San martino al tagliamento;Camino;13600.672263889493;21;30;69.169464111328125;39.169464111328125
Arzenutto;Camino;11939.69240617011;7;30;63.39314270019531;33.39314270019531
San vito al tagliamento ospedale;Camino;6612.629442350059;28;30;27.80974006652832;2.1902599334716797
San vito al tagliamento cimitero;Camino;5410.568696590194;28;30;32.09159469604492;2.091594696044922
Stalis;Camino;9746.458124159519;5;30;10.510129928588867;19.489870071411133
Sesto al reghena;Camino;12488.874255364091;14;30;10.6888427734375;19.3111572265625
Mure;Camino;13666.490180400418;6;30;8.119863510131836;21.880136489868164
Zuiano;Camino;18246.288889576663;4;30;11.029081344604492;18.970918655395508
Azzano decimo;Camino;17950.262983585348;10;30;13.677153587341309;16.32284641265869
Pescincanna;Camino;14901.80155347083;9;30;21.79218864440918;8.20781135559082
Biauzzo;Camino;5178.3021719839335;5;30;44.248985290527344;14.248985290527344
Codroipo centro;Camino;5691.903884289335;11;30;37.96499252319336;7.964992523193359
Campomolle;Camino;10548.352057651276;6;30;7.805864334106445;22.194135665893555
Teor;Camino;11393.494312340934;6;30;7.206847667694092;22.793152332305908
Flambruzzo;Camino;10758.158556729424;7;30;11.445226669311523;18.554773330688477
Flambruzzo villa badoglio;Camino;10932.379098469983;21;30;11.445226669311523;18.554773330688477
Case zoncolan;Camino;12173.435021429608;9;30;10.054102897644043;19.945897102355957
Ariis;Camino;12771.05937869793;5;30;10.054102897644043;19.945897102355957
Ariis cimitero;Camino;13350.872834688362;11;30;9.479960441589355;20.520039558410645
Ariis parco;Camino;12499.042607129733;9;30;10.054102897644043;19.945897102355957
Ariis centro e.t.p.;Camino;12480.616228710867;16;30;10.054102897644043;19.945897102355957
Casali sacile;Camino;12803.36020049945;10;30;7.9696431159973145;22.030356884002686
Casali petazzo;Camino;14171.693381349009;10;30;7.9478759765625;22.0521240234375
Pocenia;Camino;14773.370755772208;6;30;5.05306339263916;24.94693660736084
Case trevisan;Camino;17381.335151015817;10;30;2.4833574295043945;27.516642570495605
Casali gambellini;Camino;14637.433456112602;12;30;5.7831902503967285;24.21680974960327
Latisana crosere;Camino;16236.761773814742;12;30;1.522046685218811;28.47795331478119
Rivarotta;Camino;15769.122834328246;8;30;2.0823349952697754;27.917665004730225
Precenicco;Camino;18269.279455173622;8;30;1;29
Pocenia zona industriale;Camino;16670.563883001934;21;30;5.951496601104736;24.048503398895264
Palazzolo dello stella;Camino;16751.236937206704;20;30;1.3652523756027222;28.634747624397278
Casa di guardia;Camino;11578.504375773215;12;30;17.048948287963867;12.951051712036133
Codroipo;Camino;6423.90450115742;5;30;42.48942565917969;12.489425659179688
Zompicchia;Camino;6957.31032027676;8;30;42.523799896240234;12.523799896240234
Goricizza caserme;Camino;6217.924588835113;16;30;41.91107940673828;11.911079406738281
Codroipo ponte sp. 65;Camino;5819.552196220903;18;30;37.40613555908203;7.406135559082031
Molino vecchio;Camino;9749.802308166703;11;30;11.674541473388672;18.325458526611328
Sivigliano;Camino;9881.191211165145;7;30;11.674541473388672;18.325458526611328
Turrida;Camino;11779.636365059221;6;30;73.52359771728516;43.523597717285156
Lestizza;Camino;15649.088382168828;7;30;38.815711975097656;8.815711975097656
Villacaccia;Camino;11776.984738455276;10;30;46.654701232910156;16.654701232910156
Villaorba;Camino;14225.639906409482;8;30;67.18202209472656;37.18202209472656
San lorenzo di sedegliano;Camino;10139.479034540367;21;30;63.10237121582031;33.10237121582031
Rivolto;Camino;7455.435023719035;6;30;37.384830474853516;7.384830474853516
Talmassons;Camino;13795.578408698471;7;30;25.050640106201172;4.949359893798828
Pantianicco;Camino;13042.834215771405;7;30;69.67994689941406;39.67994689941406
Casello f.s.;Camino;17801.123866919963;9;30;2.4833574295043945;27.516642570495605
Casa longo;Camino;17926.634305195243;6;30;2.4833574295043945;27.516642570495605
Mortegliano;Camino;18955.188252873995;8;30;42.066070556640625;12.066070556640625
Castions di strada;Camino;19910.25049014758;14;30;20.14171028137207;9.85828971862793
Cormor paradiso;Camino;17688.299419152387;11;30;11.960711479187012;18.03928852081299
Sant'andrat del cormor;Camino;17357.550473703464;19;30;22.43624496459961;7.563755035400391
Zavattina;Camino;19714.684923710895;6;30;6.220213413238525;23.779786586761475
Muzzana del turgnano ponte ss 14;Camino;18675.588616934227;29;30;3.7311344146728516;26.26886558532715
Ponte ss 252 km 13;Camino;17629.331979363982;17;30;26.271743774414062;3.7282562255859375
Ponte ss 252 km 14;Camino;18936.867203761816;17;30;26.311248779296875;3.688751220703125
Trivignano udinese;Capriva del friuli;13412.854737850681;15;85;41.905914306640625;43.094085693359375
Lauzacco;Capriva del friuli;17959.268245413718;16;85;55.54144287109375;29.45855712890625
Pavia di udine;Capriva del friuli;17186.34112016322;11;85;63.512428283691406;21.487571716308594
Ponte piuma;Capriva del friuli;7916.593249019576;14;85;75.53910827636719;9.4608917236328125
Gorizia teleferica ponte piuma;Capriva del friuli;8015.552102909974;21;85;75.53910827636719;9.4608917236328125
Gorizia presa c.b.p.i.;Capriva del friuli;7022.145650572908;16;85;58.9251708984375;26.0748291015625
Mainizza;Capriva del friuli;6794.205250293095;15;85;36.78827667236328;48.21172332763672
Farra d'isonzo m. fortin;Capriva del friuli;5799.615615434158;19;85;51.71792984008789;33.28207015991211
Gradisca d'isonzo ponte pedonale;Capriva del friuli;8074.475485329822;26;85;41.525821685791016;43.474178314208984
Gorizia via san gabriele;Capriva del friuli;9445.249874930088;16;85;92.249725341796875;7.249725341796875
Cerneglons ponte;Capriva del friuli;18250.456312699167;15;85;87.30888366699219;2.3088836669921875
Selvis;Capriva del friuli;18559.56248176165;15;85;98.00841522216797;13.008415222167969
Cerneglons;Capriva del friuli;18573.651060425345;15;85;91.393829345703125;6.393829345703125
Orzano;Capriva del friuli;16615.36640333289;16;85;100.03337860107422;15.033378601074219
Cividale istituto agrario;Capriva del friuli;17061.47935943841;20;85;132.30323791503906;47.30323791503906
Cividale ponte del diavolo;Capriva del friuli;16134.401609931145;17;85;132.68756103515625;47.68756103515625
Manzano ponte case;Capriva del friuli;10132.712293511688;16;85;65.63212585449219;19.367874145507812
Manzano;Capriva del friuli;11018.858049539964;16;85;75.56151580810547;9.438484191894531
Albana;Capriva del friuli;10188.429459851473;17;85;134.72122192382812;49.721221923828125
Brazzano;Capriva del friuli;5024.200828180445;16;85;70.73090362548828;14.269096374511719
Cormons;Capriva del friuli;3346.2966924906877;16;85;79.207275390625;5.792724609375
Capriva localita' la baita;Capriva del friuli;1256.760196728398;15;85;53.29371643066406;31.706283569335938
Ruzzis;Capriva del friuli;739.1827210812619;17;85;62.071739196777344;22.928260803222656
La baita ponte;Capriva del friuli;1271.4513064894527;15;85;53.29371643066406;31.706283569335938
Rupa ponte ss 55;Capriva del friuli;9591.368042504891;15;85;57.845272064208984;27.154727935791016
Gorizia aeroporto di merna;Capriva del friuli;8374.826046267868;20;85;58.04591369628906;26.954086303710938
Savogna d'isonzo ponte ferrovia;Capriva del friuli;7983.165071963461;23;85;46.73778533935547;38.26221466064453
Savogna d'isonzo ponte sp 8;Capriva del friuli;7756.358189875699;22;85;46.73778533935547;38.26221466064453
Doberdo' centro visite gradina;Capriva del friuli;13090.259265643344;24;85;60.08134078979492;24.918659210205078
Camporosso;Cave del predil;8650.730061615031;12;914;889.34991455078125;24.65008544921875
Ugovizza;Cave del predil;11003.310625347625;15;914;898.59100341796875;15.40899658203125
Malborghetto ponte per nebria;Cave del predil;12466.498122886745;21;914;895.99737548828125;18.00262451171875
